angle_deg,R2,R3,R4,R5,R6,R7,R8,R9,R10
10.7,6,8.4,14.2,13.9,19.7,60.3,95.3,119.2,147.4
10.8,3.8,7.7,14.3,12.7,23,57.3,93.2,116.9,146.2
10.9,4.3,8.5,12.4,11.5,24.6,62.9,88.8,114.8,141.9
11,3.4,6.5,9,10.7,28.5,63.6,89.8,110.9,142.5
11.1,4.6,6.2,10.5,10.8,29.6,62,89.8,115.7,146.5
11.2,3.6,6.3,10.1,9.7,33.6,60.1,92.2,117.1,141.2
11.3,3.4,5.2,7,9.2,34.6,58.7,85.6,112.3,134.1
11.4,2.2,3.1,5.8,6.8,30.8,60.1,85.6,103.4,129.2
11.5,3,3.4,5.9,6.8,33.6,54.7,80.4,103.5,122.2
11.6,1.4,2.9,6.1,4.9,31.8,56.4,80.1,100.6,120
11.7,2.2,2.4,4.6,4.3,32.4,57.4,82.5,101.4,118.5
11.8,1.9,1.8,3.9,5.2,33.5,52.8,77.7,99.1,116.8
11.9,1.4,1.9,4.2,7.1,35.7,58.2,72.5,96.2,117.6
12,1.6,1.8,3.3,8.2,33.8,55,73.5,87.5,112
12.1,0.7,1.4,3.1,9.6,34.9,51.8,71.8,89.4,117.1
12.2,0.8,1.7,2.5,13.1,35.2,49.2,71,93,110.3
12.3,0.9,1.8,3.3,14,35.9,53.2,67.9,86.1,121.1
12.4,1.4,1.6,2,15.3,34.5,52,68.9,79.8,112.7
12.5,0.9,2.1,4.2,18.1,34.5,53.3,77.9,98.1,131
